name,assess,Importance,numInfobox,InfoboxValues,InfoboxImages,numTemplates,numWpEdits,wpmShare,translated,codes,repLinks,numRecSections,HAuthority,HCompleteness,HInformativeness,HConsistency,Authority,Completeness,Complexity,Informativeness,Consistency
1976 swine flu outbreak,C,Low,0,0,0,0,0,0,0,0,7,0,145.4,1786.8,1.93129872502101,2269.5,145.6,1786.8,7.9,1.93129872502101,2269.57311827957
2002–2004 SARS outbreak,B,Low,1,15,0,1,5,0.006648936170213,0,0,32,0,385.5,5292.4,26.6723704523148,3373.51263297872,396.9,5292.4,12.95,11.5923704523148,3373.63244680851
2009 swine flu pandemic,GA,Mid,2,17,0,4,106,0.011786945401979,0,3,198,7,3644.9,33065.2,23.6778474685138,2271.02239519626,3627.7,11725.2,8.2,6.35784746851385,2271.08666740798
501.V2 Variant,Start,Mid,0,0,0,1,0,0,0,0,2,0,130.3,2042.4,8.55267802422297,141.5,141.3,2042.4,0.25,8.47267802422297,141.526785714286
Abdominal pain,C,High,2,11,1,4,106,0.146206896551724,0,5,9,4,372.1,31828.6,13.1059138192752,3189.77779310345,370.5,3698.6,-45.5,0.785913819275217,3189.65806896552
Abortion,B,Top,1,10,0,5,442,0.03398431493157,1,2,174,3,5618.1,23482.4,19.1758347131822,3634.56457019837,5416.3,10872.4,7.75,8.7758347131822,3634.6711517761
Abortion law,C,Mid,0,0,0,2,1,0.000461041954818,0,0,7,1,1034,9164.4,110.194153626059,3165.00087597971,1068.4,8194.4,-32.45,110.034153626059,3165.09598893499
Abscess,B,High,1,13,1,3,132,0.151202749140893,1,3,28,9,642.8,26025.6,19.2103134960004,3701.78728522337,441,2745.6,5.8,4.97031349600042,3701.63402061856
Achondroplasia,B,Mid,2,25,1,5,70,0.045016077170418,1,9,26,7,1040.1,52851,27.7562075258538,3524.58553054662,838.1,2411,11.25,1.35620752585383,3524.58836012862
Acne,GA,High,1,14,1,4,2097,0.274620220010477,0,6,216,12,3524.4,53076.6,20.7257752586882,3490.52177841802,3493.4,12336.6,6.7,5.40577525868816,3490.10057621792
Acromegaly,C,Mid,2,24,0,5,208,0.144846796657382,1,8,32,5,892.2,47827,27.8971890474566,3501.77520891365,694.2,4177,10.55,3.49718904745657,3501.59818941504
Acupuncture,B,Mid,0,0,0,7,230,0.021925643469971,0,0,304,1,4135.5,15991.4,8.77375381888933,3649.54165872259,4090.3,15021.4,7.9,8.21375381888933,3649.57035271687
Acute myeloid leukemia,FA,High,2,22,1,5,134,0.114627887082977,1,8,110,8,801.6,53357,27.874690586421,3408.71779298546,583.6,6797,2.35,4.474690586421,3408.69657827203
Acute radiation syndrome,C,Mid,2,20,1,4,217,0.085265225933202,1,5,51,8,1424,37921.2,25.7307729776729,3442.66200392927,1220,5911.2,9.1,4.41077297767295,3442.58581532417
Adderall,GA,Mid,1,49,1,14,477,0.104743083003953,0,0,215,11,2311.2,14176.4,55.5595365953387,3175.69901185771,2264,3506.4,-13,4.4395365953387,3175.55691699605
Addiction,B,Top,2,7,1,6,472,0.102253032928943,0,1,182,4,2344.1,18144.6,13.2183927081957,3655.19428076256,2307.1,9414.6,-6.75,4.73839270819566,3655.07577989601
Addison's disease,B,Mid,1,13,1,3,137,0.074054054054054,1,6,47,7,1118.7,39760,18.0617274903967,3282.1407027027,912.7,3870,4,3.82172749039671,3282.1307027027
Adrenaline,B,Low,0,0,0,3,207,0.082273449920509,0,0,78,4,1293.8,8660.4,3.75000899552598,3616.65631955485,1285.4,4780.4,4.75,3.51000899552598,3616.6173290938
Affordable Care Act,C,Mid,0,0,0,0,60,0.007628734901462,0,0,75,0,2983.4,20247.4,17.4859180942267,2162.51449459631,3054.8,20247.4,5.75,17.4859180942267,2162.58734901462
Agent Orange,GA,Low,0,0,0,0,45,0.009465713083719,0,0,38,1,2304.1,12902.4,10.141763428645,3629.01798485486,2341.9,11932.4,10.3,10.141763428645,3629.06941522928
Agoraphobia,B,Mid,1,13,1,2,72,0.031413612565445,1,4,25,6,1386.3,28449.6,14.9494699153837,3552.55968586387,1191.7,3229.6,3.2,0.789469915383667,3552.5835078534
Akathisia,C,Mid,2,21,1,4,99,0.088314005352364,1,5,27,6,697.1,31806.6,23.2191346935621,3371.66779661017,493.1,1736.6,0.1,0.899134693562131,3371.59152542373
Alcohol (drug),C,Mid,1,60,1,23,25,0.028376844494892,0,0,89,10,395.5,19470,66.8239821970309,2366.55391600454,380.5,9770,4,3.9839821970309,2366.60419977299
Alcohol intoxication,C,Mid,2,20,1,5,116,0.033228301346319,1,4,41,8,2019.9,31838.6,26.6633453211509,3634.56313377256,1822.9,4678.6,6.4,5.26334532115087,3634.59521627041
Alcoholism,GA,Top,1,14,1,3,383,0.073245362401989,1,6,190,10,2607.5,49228,24.83477814887,3612.13916618856,2374.3,10428,4.65,9.59477814886997,3612.08938611589
Alex Azar,C,Low,0,0,0,1,2,0.002816901408451,0,0,11,0,326.5,5224.4,6.0256376505539,2883.00535211268,338.9,5224.4,12.95,5.9456376505539,2883.06929577465
Alexander Fleming,B,Low,0,0,0,1,12,0.001901743264659,0,0,78,0,3322.1,6450,7.22428679541612,3658.5036133122,3321.1,6450,8.45,7.14428679541612,3658.60098256735
Alexithymia,C,Low,2,8,1,2,19,0.02060737527115,0,0,61,3,426.4,7045.8,10.3562186130521,3176.53915401302,421,4135.8,-6.7,1.19621861305206,3176.54555314534
Alopecia areata,B,Mid,2,23,1,8,77,0.058245083207262,1,7,35,8,925,44394.4,26.9207985631191,3416.61066565809,719.4,2684.4,11.25,2.28079856311908,3416.59440242057
Alprazolam,GA,Mid,1,57,1,11,133,0.027485017565613,1,0,93,12,2561.4,17167.6,64.5349744319965,3343.55222153337,2357.6,5527.6,-0.25,5.65497443199648,3343.59522628642
Alzheimer's disease,FA,Top,1,17,1,4,457,0.055977462028417,1,7,384,11,3952.1,56300.8,27.6444233345224,3638.10635717785,3692.5,11680.8,4.7,9.32442333452236,3638.10443410093
