numUniqueEditors,numEdits,connectivity,numAnonEdits,numRegisteredEdits,numExternalLinks,numReverts,numBrokenLinks,numInnerLinks,articleLength,flesch,kincaid,infoNoise,diversity,numImages,adminShare,age,medianRevertTime,id,lang,name,authority,completeness,complexity,informativeness,consistency,volatility,currency,informativeness2,infoNoise2,,
240,526,12345,126,400,240,10,86,304,9041,-1,-1,0.70810751,0.456273764,80,0.015209125475285,6025,8,174917,zh,1918年流感大流行           ,1503.9,1964.2,-1,24.1511002475836,3012.50912547528,8,19,24.1494049687635,0.705282045531008,,
65,136,11521,19,117,62,1,65,172,1545,-1,-1,0.684142395,0.477941176,12,0.007352941176471,5857,966,176458,zh,1968年流感疫情           ,1220.5,403.8,-1,3.72372073101085,2928.50441176471,966,74,3.72372073101085,0.684142394822006,,
185,282,11598,72,210,22,11,1,54,8951,41,16.2,0.880795442,0.656028369,13,0.120567375886525,4385,5,2754,en,1976 swine flu outbreak        ,1296.3,1812.2,41,4.03486024383345,2192.57234042553,5,38,4.03486024383345,0.880795441850073,,
50,305,11956,10,295,226,1,172,350,8627,-1,-1,0.660484525,0.163934426,31,0.013114754098361,4897,0,185816,zh,1型糖尿病           ,1343.6,1934.2,-1,9.59793005945877,2448.50786885246,0,12,9.59793005945877,0.66048452532746,,
46,56,11691,12,44,47,2,0,49,4836,-1,-1,0.999793218,0.821428571,1,0,4428,710,300343,ja,1型糖尿病           ,1205.7,986.8,-1,0.407018787663949,2214,710,26,0.163217623497997,0.593457943925234,,
428,778,10485,269,509,153,51,3,450,25763,49,15.1,0.8771494,0.550128535,55,0.214652956298201,6593,17,45,en,2002–2004 SARS outbreak         ,1440.3,5333.8,49,16.696212519359,3296.62879177378,17,23,16.6961896234989,0.877111240535818,,
88,214,12280,30,184,12,3,58,100,2352,51,-1,0.860969388,0.411214953,6,0,4382,1.5,155327,tr,2009 domuz gribi salgını        ,1316.1,533.6,51,2.06985266069044,2191,1.5,60,2.06985266069044,0.860969387755102,,
2557,9013,12441,1487,7526,521,481,4,517,57709,34,17.5,0.883813617,0.28370132,76,0.144236103406191,4388,1,2772,en,2009 swine flu pandemic        ,4856.6,11750.2,34,23.1600673777671,2194.08654166204,1,13,23.1600622887853,0.883805134957209,,
1,6,21,0,6,32,0,16,37,3147,-1,-1,0.866539561,0.166666667,2,0,367,0,335621,bn,২০০৯ সোয়াইন ইনফ্লুয়েঞ্জার বৈশ্বিক মহামারী       ,10.5,650.6,-1,1.01992373689228,183.5,0,361,1.02015281757402,0.866921362623368,,
157,520,12172,93,427,19,3,38,152,4714,-1,-1,0.753288078,0.301923077,7,0,4386,0,665965,ko,2009년 인플루엔자 범유행         ,1418.6,1018.8,-1,2.37081900068536,2193,0,20,2.37081900068536,0.753288078065337,,
244,820,12289,93,727,248,1,33,185,7130,-1,-1,0.682047686,0.297560976,65,0.009756097560976,4387,70,176460,zh,2009年H1N1流感大流行           ,1582.9,1513.2,-1,19.7306920261348,2193.50585365854,70,19,19.7306920261348,0.682047685834502,,
429,1780,11050,522,1258,273,0,30,344,34812,-1,-1,0.999971274,0.241011236,20,0,4386,0,288104,ja,2009年新型インフルエンザの世界的流行           ,1831.6,7112,-1,6.45537602299091,2193,0,18,6.21837765314518,0.604973991197021,,
53,88,7471,17,71,33,2,7,32,3239,-1,-1,0.861994443,0.602272727,19,0.034090909090909,457,1,347519,hi,2019 नोवेल कोरोनावायरस         ,792.4,663.4,-1,5.85583302927391,228.520454545455,1,119,5.85583302927391,0.861994442729237,,
124,331,7541,63,268,351,1,18,87,31618,-1,-1,0.862926181,0.374622356,39,0.033232628398792,461,0,347511,hi,2019–20 कोरोनावायरस महामारी         ,955,6365.6,-1,11.9929822948762,230.519939577039,0,58,11.9930049258637,0.862963899601694,,
8,23,127,2,21,336,1,1016,1078,831,-1,-1,0.873646209,0.347826087,249,0,415,15,347520,hi,2019–20 में देश और क्षेत्र के अनुसार कोरोनावायरस का प्रकोप  ,88.6,1003.8,-1,35.0154920734579,207.5,15,41,75.0154920734579,0.873646209386282,,
